Id,Degree,Betweenness,Closeness,Eigenvector,Name
Joseph Sambrook,0.00021713169037020953,0.0,0.00021713169037020953,6.809319710468957e-76,
Elisabeth Fritsch,0.00021713169037020953,0.0,0.00021713169037020953,6.809319710468957e-76,
Tom Maniatis,0.00021713169037020953,0.0,0.00021713169037020953,6.809319710468957e-76,
Keith E. Muller,0.00010856584518510477,0.0,0.00021713169037020953,4.674238333865423e-77,
Jacob Cohen,0.0003256975355553143,0.0,0.00034741070459233525,8.636866253592591e-77,
Peter A. Lachenbruch,0.00021713169037020953,0.0,0.0002895089204936127,6.610371245821771e-77,
David Moher,0.007708175008142438,0.005598250943909452,0.05258518746925294,2.83634428159051e-09,
A. Liberati,0.0003256975355553143,0.0,0.04452694036411641,2.480008476506149e-11,
Jennifer Tetzlaff,0.0029312778199978287,8.54064675069612e-06,0.044625972390653586,3.111324004663189e-11,
Douglas G. Altman,0.0045597654977744,0.0011512705843804171,0.04491485732294228,8.179935582282941e-11,
Matthew J. Page,0.002714146129627619,0.0,0.04446826455171687,3.0219687572808984e-11,
Joanne E. McKenzie,0.002714146129627619,0.0,0.04446826455171687,3.0219687572808984e-11,
Patrick M. Bossuyt,0.004342633807404191,1.922968373187376e-05,0.04469044526191386,3.417142182391067e-11,
Isabelle Boutron,0.002714146129627619,0.0,0.04446826455171687,3.0219687572808984e-11,
Tammy Hoffmann,0.002714146129627619,0.0,0.04446826455171687,3.0219687572808984e-11,
Cynthia D. Mulrow,0.002714146129627619,0.0,0.04446826455171687,3.0219687572808984e-11,
Larissa Shamseer,0.002714146129627619,0.0,0.04446826455171687,3.0219687572808984e-11,
Elie A. Akl,0.002714146129627619,0.0,0.04446826455171687,3.0219687572808984e-11,
Sue Brennan,0.002714146129627619,0.0,0.04446826455171687,3.0219687572808984e-11,
Roger Chou,0.002714146129627619,0.0,0.04446826455171687,3.0219687572808984e-11,
Julie Glanville,0.002714146129627619,0.0,0.04446826455171687,3.0219687572808984e-11,
Jeremy Grimshaw,0.004451199652589295,0.00025017015213186144,0.044567035459893926,3.1957736314764645e-11,
Asbjørn Hróbjartsson,0.002714146129627619,0.0,0.04446826455171687,3.0219687572808984e-11,
Manoj M. Lalu,0.002714146129627619,0.0,0.04446826455171687,3.0219687572808984e-11,
Tianjing Li,0.002714146129627619,0.0,0.04446826455171687,3.0219687572808984e-11,
Elizabeth Loder,0.002714146129627619,0.0,0.04446826455171687,3.0219687572808984e-11,
Evan Mayo‐Wilson,0.002714146129627619,0.0,0.04446826455171687,3.0219687572808984e-11,
Steve McDonald,0.002714146129627619,0.0,0.04446826455171687,3.0219687572808984e-11,
Luke A. McGuinness,0.002822711974812724,7.36255765538705e-06,0.04457506314565674,5.317858019592246e-11,
Lesley Stewart,0.003148409510368038,0.00012076411607507187,0.044478921376245456,3.0228452517589515e-11,
James Thomas,0.002822711974812724,3.019102901876797e-05,0.044470928279077095,3.0221822623738325e-11,
Andrea C. Tricco,0.0033655412007382477,7.076022426273743e-07,0.044484251704171196,3.148158922988902e-11,
Vivian Welch,0.002714146129627619,0.0,0.04446826455171687,3.0219687572808984e-11,
Penny Whiting,0.002714146129627619,0.0,0.04446826455171687,3.0219687572808984e-11,
Julian P. T. Higgins,0.002822711974812724,0.0031229845453287315,0.052281526527529085,2.754188779536113e-09,
Doug Altman,0.000977092606665943,0.0,0.04463133802398179,7.451247699232761e-11,
Peter C Gøtzsche,0.0015199218325914667,0.0002761881693125852,0.044771298799355506,7.56514365921471e-11,
Peter Jüni,0.000977092606665943,0.0,0.04463133802398179,7.451247699232761e-11,
Andrew D Oxman,0.001845619368146781,0.001432887677453882,0.044709284955791205,7.477639905198089e-11,
Jelena Savović,0.000977092606665943,0.0,0.04463133802398179,7.451247699232761e-11,
Kenneth F. Schulz,0.001845619368146781,0.0013272587237933525,0.052307311822089274,2.8233175947665405e-09,
Laura Weeks,0.000977092606665943,0.0,0.04463133802398179,7.451247699232761e-11,
Jonathan Sterne,0.0017370535229616763,0.0007743009448403464,0.044679686849477186,7.455763405785835e-11,
Beverley Shea,0.000977092606665943,0.0,0.04446826455171687,2.5632422739581183e-11,
George A. Wells,0.000977092606665943,0.0,0.04446826455171687,2.5632422739581183e-11,
Maarten Boers,0.000977092606665943,0.0,0.04446826455171687,2.5632422739581183e-11,
Neil Andersson,0.000977092606665943,0.0,0.04446826455171687,2.5632422739581183e-11,
Candyce Hamel,0.000977092606665943,0.0,0.04446826455171687,2.5632422739581183e-11,
Ashley C Porter,0.000977092606665943,0.0,0.04446826455171687,2.5632422739581183e-11,
Peter Tugwell,0.001411355987406362,0.0004197486519459695,0.04454564242715187,2.627932601121139e-11,
L.M. Bouter,0.000977092606665943,0.0,0.04446826455171687,2.5632422739581183e-11,
Johannes B. Reitsma,0.003148409510368038,0.00032966610743910655,0.04463938889368727,2.8162325795976327e-11,
David E. Bruns,0.0017370535229616763,0.0,0.04459112719628284,2.7883890960152114e-11,
Constantine Gatsonis,0.0017370535229616763,0.0,0.04459112719628284,2.7883890960152114e-11,
Paul Glasziou,0.0017370535229616763,0.0,0.04459112719628284,2.7883890960152114e-11,
Les Irwig,0.0017370535229616763,0.0,0.04459112719628284,2.7883890960152114e-11,
Jeroen G. Lijmer,0.0017370535229616763,0.0,0.04459112719628284,2.7883890960152114e-11,
Drummond Rennie,0.0017370535229616763,0.0,0.04459112719628284,2.7883890960152114e-11,
Henrica C. W. de Vet,0.0020627510585169906,0.00029567735133519016,0.044599163564274485,2.7889902356467742e-11,
Herbert Y. Kressel,0.0017370535229616763,0.0,0.04459112719628284,2.7883890960152114e-11,
Nader Rifai,0.0017370535229616763,0.0,0.04459112719628284,2.7883890960152114e-11,
Robert Golub,0.0017370535229616763,0.0,0.04459112719628284,2.7883890960152114e-11,
Lotty Hooft,0.0017370535229616763,0.0,0.04459112719628284,2.7883890960152114e-11,
Daniël A. Korevaar,0.0017370535229616763,0.0,0.04459112719628284,2.7883890960152114e-11,
Jérémie F. Cohen,0.0017370535229616763,0.0,0.04459112719628284,2.7883890960152114e-11,
Heather Colquhoun,0.0007599609162957334,0.0,0.04438584698618396,2.517149163114823e-11,
Danielle Levac,0.0007599609162957334,0.0,0.04438584698618396,2.517149163114823e-11,
Kelly K. O’Brien,0.0007599609162957334,0.0,0.04438584698618396,2.517149163114823e-11,
Sharon E. Straus,0.0007599609162957334,0.0,0.04438584698618396,2.517149163114823e-11,
Laure Perrier,0.0007599609162957334,0.0,0.04438584698618396,2.517149163114823e-11,
Monika Kastner,0.0007599609162957334,0.0,0.04438584698618396,2.517149163114823e-11,
John P. A. Ioannidis,0.003148409510368038,0.014012775363129974,0.0624230788439345,3.1606804367665036e-07,
