Id,Degree,Betweenness,Closeness,Eigenvector
Joseph Sambrook,0.00021713169037020953,0.0,0.00021713169037020953,0.0
Elisabeth Fritsch,0.00021713169037020953,0.0,0.00021713169037020953,0.0
Tom Maniatis,0.00021713169037020953,0.0,0.00021713169037020953,0.0
Keith E. Muller,0.00010856584518510477,0.0,0.00021713169037020953,0.0
Jacob Cohen,0.0003256975355553143,1.178782249566827e-07,0.00034741070459233525,0.0
Peter A. Lachenbruch,0.00021713169037020953,7.072693497400961e-08,0.0002895089204936127,0.0
David Moher,0.007708175008142438,0.005794022495140753,0.05258518746925294,2.6514972972833645e-09
A. Liberati,0.0003256975355553143,0.0,0.04452694036411641,2.2928599864303374e-11
Jennifer Tetzlaff,0.0029312778199978287,1.0655181151298784e-05,0.044625972390653586,2.8686028522204786e-11
Douglas G. Altman,0.0045597654977744,0.0011356909730140204,0.04491485732294228,7.418174235781166e-11
Matthew J. Page,0.002714146129627619,0.0,0.04446826455171687,2.7882886692656217e-11
Joanne E. McKenzie,0.002714146129627619,0.0,0.04446826455171687,2.7882886692656217e-11
Patrick M. Bossuyt,0.004342633807404191,2.2011625476113638e-05,0.04469044526191386,3.147639824010935e-11
Isabelle Boutron,0.002714146129627619,0.0,0.04446826455171687,2.7882886692656217e-11
Tammy Hoffmann,0.002714146129627619,0.0,0.04446826455171687,2.7882886692656217e-11
Cynthia D. Mulrow,0.002714146129627619,0.0,0.04446826455171687,2.7882886692656217e-11
Larissa Shamseer,0.002714146129627619,0.0,0.04446826455171687,2.7882886692656217e-11
Elie A. Akl,0.002714146129627619,0.0,0.04446826455171687,2.7882886692656217e-11
Sue Brennan,0.002714146129627619,0.0,0.04446826455171687,2.7882886692656217e-11
Roger Chou,0.002714146129627619,0.0,0.04446826455171687,2.7882886692656217e-11
Julie Glanville,0.002714146129627619,0.0,0.04446826455171687,2.7882886692656217e-11
Jeremy Grimshaw,0.004451199652589295,0.0004991730253128168,0.044567035459893926,2.947161182729971e-11
Asbjørn Hróbjartsson,0.002714146129627619,0.0,0.04446826455171687,2.7882886692656217e-11
Manoj M. Lalu,0.002714146129627619,0.0,0.04446826455171687,2.7882886692656217e-11
Tianjing Li,0.002714146129627619,0.0,0.04446826455171687,2.7882886692656217e-11
Elizabeth Loder,0.002714146129627619,0.0,0.04446826455171687,2.7882886692656217e-11
Evan Mayo‐Wilson,0.002714146129627619,0.0,0.04446826455171687,2.7882886692656217e-11
Steve McDonald,0.002714146129627619,0.0,0.04446826455171687,2.7882886692656217e-11
Luke A. McGuinness,0.002822711974812724,8.667585881064887e-06,0.04457506314565674,4.9147773448763267e-11
